Country Name,Country Code,Series Name,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,15.4,15.35,15.5,15.7,15.92,16.13,16.33,16.12,15.91,15.74,15.65,15.65,16,16.44,17.42,18.46,19.55,20.7,21.91,22.32,22.74,..,..
Afghanistan,AFG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,2.8,..,..,..,..,..,2.2,..,..,..,..,..,..,..
Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,..,..,..,..,27.3092369477912,27.3092369477912,27.6859504132231,27.6859504132231,27.3092369477912,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,..,27.8688524590164,27.0161290322581,27.0161290322581
Albania,ALB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,58.87,57.89,56.71,56.06,55.3,54.57,53.88,53.43,53.07,52.78,51.57,52.75,60.59,55.1,50.58,50.18,54.05,56.4,55.54,59.12,61.46,..,..
Albania,ALB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,12.8,..,10.8,..,..,..,..,..,13.1,..,..,..,..,..,20.7,..,..
Albania,ALB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,5.16129032258065,5.16129032258065,5.71428571428571,5.71428571428571,5.71428571428571,6.42857142857143,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,16.4285714285714,16.4285714285714,15.7142857142857,15.7142857142857,17.8571428571429,20,20.7142857142857,22.8571428571429,27.8571428571429,27.8571428571429,29.5081967213115,29.5081967213115,35.7142857142857
Algeria,DZA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,12.63,12.71,12.85,13.02,13.24,13.5,13.79,14.12,14.47,14.87,15.31,15.49,16.45,17.48,18.29,16.68,17.5,18.33,19.19,18.95,18.7,..,..
Algeria,DZA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,15,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,3.15789473684211,3.42105263157895,3.42105263157895,6.16966580976864,6.16966580976864,6.16966580976864,6.16966580976864,6.16966580976864,7.7120822622108,7.7120822622108,7.7120822622108,7.7120822622108,7.96915167095116,31.6017316017316,31.6017316017316,31.6017316017316,31.6017316017316,31.6017316017316,25.7575757575758,25.7575757575758,25.7575757575758,25.7575757575758,8.10810810810811
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
